Make,Model,Engine_HP,Engine_Size_L,Cylinders,Transmission,Fuel_Type,Driven_Wheels,Number_of_Doors,Vehicle_Size,Vehicle_Style,Fuel_Consumption_Comb_L_100km,MSRP
ACURA,CL,236.7,3,6,AUTOMATIC,Z,front wheel drive,2,Midsize,Coupe,13.8,29818.9
ACURA,ILX,191.4,2.3,4,AUTOMATED_MANUAL,Z,front wheel drive,4,Compact,Sedan,8.6,30712.5
ACURA,ILX HYBRID,111,1.5,4,AUTOMATIC,Z,front wheel drive,4,Compact,Sedan,6,31750
ACURA,INTEGRA,152.1,2,4,MANUAL,X,front wheel drive,2.9,Compact,2dr Hatchback,10.8,11768.6
ACURA,LEGEND,215,3,6,MANUAL,X,front wheel drive,3.2,Midsize,Sedan,14.7,2143.5
ACURA,MDX,290,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.4,50332.1
ACURA,NSX,331.4,3.5,6,AUTOMATIC,X,rear wheel drive,2,Compact,Coupe,11,102400
ACURA,RDX,278,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.1,39232.5
ACURA,RL,300,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,14.1,51340
ACURA,RLX,321.2,3.5,6,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,10,56491.7
ACURA,RSX,167.4,2,4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,10.5,21689
ACURA,SLX,202.5,3,6,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,18.1,2658.8
ACURA,TL,293,3.5,6,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,10.1,40876.7
ACURA,TLX,266,2.6,5.4,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,8.6,38730
ACURA,TSX,220.8,2.8,4.5,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,9.8,33284.1
ACURA,TSX SPORT WAGON,201,3,4,AUTOMATIC,Z,front wheel drive,4,Midsize,Wagon,10.7,33560
ACURA,VIGOR,176,3,5,MANUAL,X,front wheel drive,4,Midsize,Sedan,13.1,2000
ACURA,ZDX,300,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr Hatchback,14.7,51062.9
ALFA ROMEO,4C,237,1.8,4,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,8.4,61600
ASTON MARTIN,DB7,423.8,2,12,MANUAL,Z,rear wheel drive,2,Compact,Coupe,23.5,151550
ASTON MARTIN,DB9,510,5.9,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,15.6,196522.5
ASTON MARTIN,DB9 GT,540,5.9,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,15.6,215602.3
ASTON MARTIN,DBS,510,3,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,20.5,281573
ASTON MARTIN,RAPIDE,470,5.9,12,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,15.6,210122.5
ASTON MARTIN,RAPIDE S,551.3,6,12,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,14.2,202748.3
ASTON MARTIN,V12 VANQUISH,490,2,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,23.1,245880
ASTON MARTIN,V12 VANTAGE,510,2,12,MANUAL,Z,rear wheel drive,2,Compact,Coupe,21.4,187565
